domain,stage,raw_label_or_group,proposed_canonical,score_or_na,verdict,reason,manual_verdict,manual_reason
Software Engineering,synonym,database testing tools,database testing,0.667,APPROVED,"database testing tools are a facet of database testing, same subject",APPROVE,'database testing tools' is a more specific facet of the same subject 'database testing'.
Software Engineering,synonym,design to code workflow,design workflow tools,0.5,APPROVED,"design to code workflow is a specific design workflow tool usage, same subject",APPROVE,'design to code workflow' and 'design workflow tools' share the same 'design' domain subject with different facets.
Software Engineering,synonym,desktop php frameworks,php frameworks comparison,0.5,APPROVED,"desktop PHP frameworks are a subset of PHP frameworks comparison, same subject",REJECT,"'desktop php frameworks' and 'php frameworks comparison' do not share the same underlying technology, product, or subject."
Software Engineering,synonym,developer evergreen skills,developer skills,0.667,APPROVED,"evergreen skills are a subset of developer skills, same subject",APPROVE,'developer evergreen skills' and 'developer skills' share the same domain subject 'developer' with compatible facets.
Software Engineering,synonym,developer experience productivity,developer experience,0.667,APPROVED,"developer experience productivity is an angle on developer experience, same subject",APPROVE,'developer experience productivity' is a more specific facet of the same subject 'developer experience'.
Software Engineering,synonym,developer platform growth,developer platform adoption,0.5,APPROVED,"growth is a facet of adoption, both about increasing use of developer platforms",APPROVE,'developer platform growth' and 'developer platform adoption' share the same domain subject 'developer platform' with compatible facets.
Software Engineering,synonym,developer platform modernization,developer platform adoption,0.5,APPROVED,"modernization is an aspect of adoption, focusing on updating platforms",APPROVE,'developer platform modernization' and 'developer platform adoption' share the same domain subject 'developer platform' with compatible facets.
Software Engineering,synonym,developer portal integration,developer technology integration,0.5,APPROVED,developer portal integration is a specific case of developer technology integration,APPROVE,'developer portal integration' and 'developer technology integration' share the same domain subject 'developer portal' with compatible facets.
Software Engineering,synonym,developer productivity mindset,developer productivity,0.667,APPROVED,"mindset is an angle on developer productivity, same underlying subject",APPROVE,'developer productivity mindset' is a more specific facet of the same subject 'developer productivity'.
Software Engineering,synonym,developer productivity platforms,developer productivity,0.667,APPROVED,productivity platforms are a subset of developer productivity tools and concerns,APPROVE,'developer productivity platforms' is a more specific facet of the same subject 'developer productivity'.
Software Engineering,synonym,developer productivity tooling,developer productivity,0.667,APPROVED,"tooling is a facet of developer productivity, same subject",APPROVE,'developer productivity tooling' is a more specific facet of the same subject 'developer productivity'.
Software Engineering,synonym,developer relations collaboration,developer collaboration,0.667,APPROVED,developer relations collaboration is a specific form of developer collaboration,APPROVE,'developer relations collaboration' and 'developer collaboration' share the same domain subject 'developer relations' with compatible facets.
Software Engineering,synonym,developer research tools,developer tools,0.667,APPROVED,developer research tools are a subset of developer tools,APPROVE,'developer research tools' and 'developer tools' share the same 'developer' domain subject with different facets.
Software Engineering,synonym,developer skills evolution,developer skills,0.667,APPROVED,skills evolution is a specific angle on developer skills,APPROVE,'developer skills evolution' is a more specific facet of the same subject 'developer skills'.
Software Engineering,synonym,developer skills importance,developer skills,0.667,APPROVED,skills importance is an angle on developer skills,APPROVE,'developer skills importance' is a more specific facet of the same subject 'developer skills'.
Software Engineering,synonym,developer surveys,developer feedback surveys,0.667,APPROVED,developer surveys and developer feedback surveys refer to the same subject,APPROVE,'developer surveys' and 'developer feedback surveys' share the same domain subject 'developer' with compatible facets.
Software Engineering,synonym,developer tool adoption,developer platform adoption,0.5,APPROVED,"tool adoption is a facet of platform adoption, same subject",REJECT,Tool adoption and platform adoption are different subjects.
Software Engineering,synonym,developer tooling accessibility,developer tooling,0.667,APPROVED,tooling accessibility is an angle on developer tooling,APPROVE,'developer tooling accessibility' is a more specific facet of the same subject 'developer tooling'.
Software Engineering,synonym,developer tooling demos,developer tooling,0.667,APPROVED,tooling demos are a facet of developer tooling,APPROVE,'developer tooling demos' is a more specific facet of the same subject 'developer tooling'.
Software Engineering,synonym,developer tooling integration,developer tooling,0.667,APPROVED,tooling integration is a facet of developer tooling,APPROVE,'developer tooling integration' is a more specific facet of the same subject 'developer tooling'.
Software Engineering,synonym,developer tooling meetups,developer meetups,0.667,APPROVED,tooling meetups are a specific type of developer meetups,APPROVE,'developer tooling meetups' and 'developer meetups' share the same domain subject 'developer tooling' with compatible facets.
Software Engineering,synonym,developer tools and mvp projects,developer tools,0.5,APPROVED,MVP projects are a specific use case within developer tools,APPROVE,'developer tools and mvp projects' is a more specific facet of the same subject 'developer tools'.
Software Engineering,synonym,developer tools appreciation,developer tools,0.667,APPROVED,Appreciation is an angle on the same subject of developer tools,APPROVE,'developer tools appreciation' is a more specific facet of the same subject 'developer tools'.
Software Engineering,synonym,developer tools career update,developer tools,0.5,APPROVED,Career updates relate to the same subject of developer tools,APPROVE,'developer tools career update' is a more specific facet of the same subject 'developer tools'.
Software Engineering,synonym,developer tools for profile building,developer tools,0.5,APPROVED,Using developer tools for profile building is a specific application of developer tools,APPROVE,'developer tools for profile building' is a more specific facet of the same subject 'developer tools'.
Software Engineering,synonym,distributed database replication,database replication,0.667,APPROVED,Distributed database replication is a specific type of database replication,APPROVE,'distributed database replication' is a more specific facet of the same subject 'database replication'.
Software Engineering,synonym,distributed systems challenges,distributed systems complexity,0.5,APPROVED,Challenges are an angle on distributed systems complexity,APPROVE,'distributed systems challenges' and 'distributed systems complexity' share the same domain subject 'distributed systems' with compatible facets.
Software Engineering,synonym,distributed systems resilience,distributed systems complexity,0.5,APPROVED,Resilience is an angle on distributed systems complexity,APPROVE,'distributed systems resilience' and 'distributed systems complexity' share the same domain subject 'distributed systems' with compatible facets.
Software Engineering,synonym,django query optimization,query optimization,0.667,APPROVED,Django query optimization is a specific case of query optimization,APPROVE,'django query optimization' is a more specific facet of the same subject 'query optimization'.
Software Engineering,synonym,django serverless deployment,django deployment options,0.5,APPROVED,Django serverless deployment is a specific deployment option for Django,APPROVE,'django serverless deployment' and 'django deployment options' share the same 'django' domain subject with different facets.
Software Engineering,synonym,email automation tools,automation tools,0.667,APPROVED,Email automation tools are a specific type of automation tools,APPROVE,'email automation tools' is a more specific facet of the same subject 'automation tools'.
Software Engineering,synonym,email validation methods,data validation methods,0.5,APPROVED,Email validation methods are a specific type of data validation methods,REJECT,"'email validation methods' and 'data validation methods' do not share the same underlying technology, product, or subject."
Software Engineering,synonym,end-to-end testing challenges,e2e testing challenges,0.5,APPROVED,"end-to-end testing and e2e testing are synonymous, same subject",REJECT,"'end-to-end testing challenges' and 'e2e testing challenges' do not share the same underlying technology, product, or subject."
Software Engineering,synonym,engineering communication challenges,engineering communication,0.667,APPROVED,challenges are an angle on the same subject of engineering communication,APPROVE,'engineering communication challenges' is a more specific facet of the same subject 'engineering communication'.
Software Engineering,synonym,engineering culture scalability,engineering culture,0.667,APPROVED,"scalability is a facet of engineering culture, same subject",APPROVE,'engineering culture scalability' is a more specific facet of the same subject 'engineering culture'.
Software Engineering,synonym,engineering productivity habits,engineering productivity,0.667,APPROVED,"habits are an aspect of engineering productivity, same subject",APPROVE,'engineering productivity habits' is a more specific facet of the same subject 'engineering productivity'.
Software Engineering,synonym,engineering productivity tools,engineering productivity,0.667,APPROVED,"tools are a facet of engineering productivity, same subject",APPROVE,'engineering productivity tools' is a more specific facet of the same subject 'engineering productivity'.
Software Engineering,synonym,feature flag monitoring,feature flag management,0.5,APPROVED,"monitoring is an angle on feature flag management, same subject",APPROVE,'feature flag monitoring' and 'feature flag management' share the same domain subject 'feature flag' with compatible facets.
Software Engineering,synonym,feature flagging platforms,feature management platforms,0.5,APPROVED,"feature flagging platforms are a specific type of feature management platforms, same subject",APPROVE,'feature flagging platforms' and 'feature management platforms' share the same domain subject 'feature' with compatible facets.
Software Engineering,synonym,feature management adoption,feature management,0.667,APPROVED,"adoption is an angle on feature management, same subject",APPROVE,'feature management adoption' is a more specific facet of the same subject 'feature management'.
Software Engineering,synonym,feature monitoring release,feature and release management,0.5,APPROVED,"feature monitoring release is an aspect of feature and release management, same subject",APPROVE,'feature monitoring release' and 'feature and release management' share the same domain subject 'feature' with compatible facets.
Software Engineering,synonym,feature usage,feature flag usage,0.667,APPROVED,"feature usage and feature flag usage refer to the same subject, usage is an angle",APPROVE,'feature usage' and 'feature flag usage' share the same domain subject 'feature' with compatible facets.
Software Engineering,synonym,file management customization,file management tools,0.5,APPROVED,"customization is an angle on file management tools, same subject",APPROVE,'file management customization' and 'file management tools' share the same domain subject 'file management' with compatible facets.
Software Engineering,synonym,file system architecture,file system design,0.5,APPROVED,architecture and design of file systems refer to the same subject,APPROVE,'file system architecture' and 'file system design' share the same domain subject 'file system' with compatible facets.
Software Engineering,synonym,frontend pain points,developer pain points,0.5,APPROVED,"frontend pain points are a subset of developer pain points, same subject",REJECT,"'frontend pain points' and 'developer pain points' do not share the same underlying technology, product, or subject."
Software Engineering,synonym,frontend ruby frameworks,frontend frameworks,0.667,APPROVED,"frontend ruby frameworks are a subset of frontend frameworks, same subject",APPROVE,'frontend ruby frameworks' and 'frontend frameworks' share the same domain subject 'frontend ruby frameworks' with compatible facets.
Software Engineering,synonym,full stack frameworks,full stack development,0.5,APPROVED,"full stack frameworks are a specific aspect of full stack development, same subject.",APPROVE,'full stack frameworks' and 'full stack development' share the same domain subject 'full stack' with compatible facets.
Software Engineering,synonym,full stack project,full stack development,0.5,APPROVED,"full stack project is a specific instance of full stack development, same subject.",APPROVE,'full stack project' and 'full stack development' share the same domain subject 'full stack' with compatible facets.
Software Engineering,synonym,future developer skills,developer skills,0.667,APPROVED,"future developer skills is a temporal angle on developer skills, same subject.",APPROVE,'future developer skills' is a more specific facet of the same subject 'developer skills'.
Software Engineering,synonym,game development platforms,game development,0.667,APPROVED,"game development platforms are a facet of game development, same subject.",APPROVE,'game development platforms' is a more specific facet of the same subject 'game development'.
Software Engineering,synonym,gitops deployment tools,app deployment tools,0.5,APPROVED,"gitops deployment tools are a subset of app deployment tools, same subject.",REJECT,"'gitops deployment tools' and 'app deployment tools' do not share the same underlying technology, product, or subject."
Software Engineering,synonym,gitops infrastructure management,infrastructure management,0.667,APPROVED,"gitops infrastructure management is a specific approach within infrastructure management, same subject.",APPROVE,'gitops infrastructure management' is a more specific facet of the same subject 'infrastructure management'.
Software Engineering,synonym,google tag manager testing,google tag manager integration,0.6,APPROVED,"google tag manager testing is a specific aspect of google tag manager integration, same subject.",APPROVE,'google tag manager testing' and 'google tag manager integration' share the same domain subject 'google tag' with compatible facets.
Software Engineering,synonym,gps data processing,data processing performance,0.5,APPROVED,"gps data processing is a specific case of data processing performance, same subject.",REJECT,GPS-specific 'gps data processing' is not the same subject as generic 'data processing performance'.
Software Engineering,synonym,gpt-4 app development,app development strategies,0.5,APPROVED,"gpt-4 app development is a specific approach within app development strategies, same subject.",REJECT,"'gpt-4 app development' and 'app development strategies' do not share the same underlying technology, product, or subject."
Software Engineering,synonym,gpu rendering issues,3d rendering issues,0.667,APPROVED,"gpu rendering issues are a subset of 3d rendering issues, same subject.",REJECT,"'gpu rendering issues' and '3d rendering issues' do not share the same underlying technology, product, or subject."
Software Engineering,synonym,gradient rendering techniques,web rendering techniques,0.5,APPROVED,"gradient rendering techniques are a specific type of web rendering techniques, same subject.",REJECT,Gradient rendering is not necessarily web-specific rendering.
Software Engineering,synonym,graphql api design,api design,0.667,APPROVED,"GraphQL API design is a specific instance of general API design, same underlying subject.",APPROVE,'graphql api design' is a more specific facet of the same subject 'api design'.
Software Engineering,synonym,graphql api development,api development,0.667,APPROVED,"GraphQL API development is a specific case of API development, same subject.",APPROVE,'graphql api development' is a more specific facet of the same subject 'api development'.
Software Engineering,synonym,gui development challenges,software development challenges,0.5,APPROVED,"GUI development challenges are a subset of software development challenges, same subject.",REJECT,"'gui development challenges' and 'software development challenges' do not share the same underlying technology, product, or subject."
Software Engineering,synonym,handcoded web development,web development,0.667,APPROVED,"Handcoded web development is a specific approach within web development, same subject.",APPROVE,'handcoded web development' is a more specific facet of the same subject 'web development'.
Software Engineering,synonym,headless tech stack,developer tech stack,0.5,APPROVED,"Headless tech stack is a specific type of developer tech stack, same subject.",REJECT,"'headless tech stack' and 'developer tech stack' do not share the same underlying technology, product, or subject."
Software Engineering,synonym,homebrew game development,game development,0.667,APPROVED,"Homebrew game development is a specific form of game development, same subject.",APPROVE,'homebrew game development' is a more specific facet of the same subject 'game development'.
Software Engineering,synonym,homelab monitoring tools,monitoring tools,0.667,APPROVED,"Homelab monitoring tools are a specific context of monitoring tools, same subject.",APPROVE,'homelab monitoring tools' is a more specific facet of the same subject 'monitoring tools'.
Software Engineering,synonym,hybrid mobile app development,mobile app development,0.75,APPROVED,"Hybrid mobile app development is a specific approach within mobile app development, same subject.",APPROVE,'hybrid mobile app development' is a more specific facet of the same subject 'mobile app development'.
Software Engineering,synonym,in-app purchase verification,in-app purchase integration,0.5,APPROVED,"In-app purchase verification is a specific aspect of in-app purchase integration, same subject.",APPROVE,'in-app purchase verification' and 'in-app purchase integration' share the same domain subject 'in-app purchase' with compatible facets.
Software Engineering,synonym,ios17 linux compatibility,linux compatibility questions,0.5,APPROVED,"iOS17 Linux compatibility is a specific case of Linux compatibility questions, same subject.",REJECT,"'ios17 linux compatibility' and 'linux compatibility questions' do not share the same underlying technology, product, or subject."
Software Engineering,synonym,iot ai product development,ai product development,0.75,APPROVED,"IoT AI product development is a specific domain within AI product development, same subject.",APPROVE,'iot ai product development' is a more specific facet of the same subject 'ai product development'.
Software Engineering,synonym,jamstack vs traditional web development,web development,0.5,APPROVED,Jamstack vs traditional web development is a discussion within the broader subject of web development.,APPROVE,'jamstack vs traditional web development' is a more specific facet of the same subject 'web development'.
Software Engineering,synonym,java cryptographic api,java api frameworks,0.5,APPROVED,"java cryptographic api is a specific type of java api framework, same subject",REJECT,"Cryptographic APIs are a security subject, not general API frameworks."
Software Engineering,synonym,java interview questions,engineering interview questions,0.5,APPROVED,"java interview questions are a subset of engineering interview questions, same subject",REJECT,"'java interview questions' and 'engineering interview questions' do not share the same underlying technology, product, or subject."
Software Engineering,synonym,java json api,java api frameworks,0.5,APPROVED,"java json api is a specific java api framework, same subject",APPROVE,'java json api' and 'java api frameworks' share the same 'java' domain subject with different facets.
Software Engineering,synonym,knowledge assistant tools,knowledge base tools,0.5,APPROVED,"knowledge assistant tools are a type of knowledge base tools, same subject",APPROVE,'knowledge assistant tools' and 'knowledge base tools' share the same domain subject 'knowledge' with compatible facets.
Software Engineering,synonym,knowledge base resources,knowledge base tools,0.5,APPROVED,"knowledge base resources are a facet of knowledge base tools, same subject",APPROVE,'knowledge base resources' and 'knowledge base tools' share the same domain subject 'knowledge' with compatible facets.
Software Engineering,synonym,knowledge graph architecture,knowledge graph applications,0.5,APPROVED,"knowledge graph architecture is a specific aspect of knowledge graph applications, same subject",APPROVE,'knowledge graph architecture' and 'knowledge graph applications' share the same domain subject 'knowledge' with compatible facets.
Software Engineering,synonym,knowledge graph extraction,knowledge graph applications,0.5,APPROVED,"knowledge graph extraction is a specific process within knowledge graph applications, same subject",APPROVE,'knowledge graph extraction' and 'knowledge graph applications' share the same domain subject 'knowledge' with compatible facets.
Software Engineering,synonym,knowledge graph languages,knowledge graph applications,0.5,APPROVED,"knowledge graph languages are part of knowledge graph applications, same subject",APPROVE,'knowledge graph languages' and 'knowledge graph applications' share the same domain subject 'knowledge' with compatible facets.
Software Engineering,synonym,knowledge graph modeling,knowledge graph applications,0.5,APPROVED,"knowledge graph modeling is a specific activity within knowledge graph applications, same subject",APPROVE,'knowledge graph modeling' and 'knowledge graph applications' share the same domain subject 'knowledge' with compatible facets.
Software Engineering,synonym,knowledge graph paradigms,knowledge graph applications,0.5,APPROVED,"knowledge graph paradigms are conceptual frameworks within knowledge graph applications, same subject",APPROVE,'knowledge graph paradigms' and 'knowledge graph applications' share the same domain subject 'knowledge' with compatible facets.
Software Engineering,synonym,knowledge graph tools,knowledge graph applications,0.5,APPROVED,"knowledge graph tools are tools used for knowledge graph applications, same subject",APPROVE,'knowledge graph tools' and 'knowledge graph applications' share the same domain subject 'knowledge' with compatible facets.
Software Engineering,synonym,knowledge graph visualization,knowledge graph applications,0.5,APPROVED,"knowledge graph visualization is a specific aspect of knowledge graph applications, same subject",APPROVE,'knowledge graph visualization' and 'knowledge graph applications' share the same domain subject 'knowledge' with compatible facets.
Software Engineering,synonym,kotlin design patterns,design patterns,0.667,APPROVED,"kotlin design patterns are a specific instance of design patterns, same subject",APPROVE,'kotlin design patterns' is a more specific facet of the same subject 'design patterns'.
Software Engineering,synonym,kubernetes cluster hardware,kubernetes cluster management,0.5,APPROVED,"kubernetes cluster hardware is a facet of kubernetes cluster management, same subject",APPROVE,'kubernetes cluster hardware' and 'kubernetes cluster management' concern the same Kubernetes subject with different facets.
